Make,Colour,Odometer,Doors,Price
Ford,Black,167732,4,13950
Honda,Red,213667,5,12704
Nissan,Yellow,93807,2,12343
Nissan,Red,148563,2,13867
Ferrari,White,268778,2,4745
Nissan,Yellow,191264,2,24475
Ferrari,Red,83609,4,5866
Nissan,Green,281221,4,13956
Ford,Blue,258512,5,7818
Ferrari,White,263973,2,20606
BMW,Red,293097,5,18093
Chevrolet,White,164893,4,21176
Toyota,Pink,125374,2,28273
Nissan,White,34860,2,17493
Honda,Yellow,162267,4,22447
Nissan,Pink,87475,4,19908
Honda,Yellow,162499,4,10224
Chevrolet,Blue,299227,4,24582
Chevrolet,Pink,228118,4,6025
Chevrolet,Green,133786,2,20950
Honda,White,17813,4,21187
Nissan,Red,41598,2,22093
Chevrolet,Black,267951,2,8155
Ford,White,103106,4,15839
Ferrari,White,299226,4,2719
Honda,Blue,237286,2,16890
Honda,Green,21745,4,24900
Nissan,Black,298173,4,22963
Honda,Pink,154097,4,19356
Honda,Pink,242732,5,22102
Chevrolet,Pink,155360,2,25779
Nissan,Yellow,99186,5,22786
Chevrolet,Yellow,223030,4,22936
Ferrari,Red,209950,5,20591
Ferrari,Black,51846,4,6426
Chevrolet,Pink,158554,5,25303
Ferrari,Yellow,295555,4,14512
Nissan,Red,294186,5,29606
Toyota,Green,62930,5,17064
Chevrolet,Red,258656,5,15767
Ford,Yellow,254459,2,13308
Ford,Blue,234695,5,13477
Honda,Blue,63268,2,27219
Ferrari,Pink,222943,4,14903
Ford,Blue,268916,5,26770
Honda,Pink,194403,4,10680
Toyota,Pink,58901,4,4204
Nissan,Yellow,204488,5,29233
Nissan,Blue,173268,2,23729
Nissan,Pink,277770,5,21660
Ford,Black,148496,4,3102
Toyota,Green,285001,4,7243
Ford,Red,251531,5,8614
Ferrari,Red,256693,2,18299
Ford,Yellow,189362,2,27817
Toyota,Blue,36431,4,10707
Toyota,Blue,248360,4,15913
Ferrari,Pink,36385,2,23607
Toyota,White,290783,5,26968
Toyota,Pink,95530,4,2630
Nissan,Green,240983,2,13908
Ferrari,Black,293707,4,28423
BMW,Red,215390,5,12847
BMW,Pink,253373,2,11171
Toyota,White,171779,4,14721
BMW,White,180182,5,29978
BMW,Pink,202860,4,25067
Toyota,Yellow,92879,5,18661
BMW,Red,248260,5,18616
Ford,Yellow,156323,2,11744
Honda,Black,132413,5,7690
Ferrari,White,272670,4,15401
Honda,White,57837,5,9659
Toyota,Green,270550,5,29846
Nissan,Black,283680,2,12601
Ferrari,White,38541,5,13704
Toyota,Black,89083,5,2025
Nissan,Red,44531,4,17384
Honda,Blue,280856,2,15705
Toyota,White,84744,2,25852
Ferrari,Green,262859,2,24794
Ferrari,Red,139749,5,10652
Chevrolet,Pink,277253,2,22148
Ford,Black,241809,5,24983
BMW,Pink,92503,5,15379
Nissan,Yellow,264346,4,23486
Chevrolet,Red,95708,4,9006
BMW,Pink,201184,4,21867
BMW,White,112471,4,20378
Toyota,Black,264225,4,10682
BMW,Blue,167661,5,3072
Ford,Red,171087,5,25091
Ferrari,White,170081,2,29749
Chevrolet,Green,203118,5,2215
BMW,Yellow,167215,5,25989
Toyota,Black,16154,4,11915
Ford,Red,162876,5,11784
Honda,Red,74288,4,20990
Ferrari,Blue,61195,2,26734
Ferrari,Blue,292725,2,16824
Chevrolet,Green,191002,5,23165
Ferrari,Yellow,174053,2,5313
BMW,Green,79298,5,13033
Toyota,White,216376,2,11968
Ferrari,White,49499,4,18241
Ferrari,Green,179631,4,28628
Honda,Yellow,255198,4,26147
Honda,Green,252997,4,7939
Nissan,Yellow,106347,5,16696
Ford,Yellow,215735,2,16794
BMW,Pink,32431,5,4295
Ferrari,Black,204555,4,24069
Ferrari,Yellow,132720,5,3696
Toyota,Blue,59153,2,13185
Nissan,Yellow,278512,5,29045
Ford,Yellow,186076,2,20330
Nissan,Yellow,229724,5,14001
Chevrolet,Pink,66985,2,16350
Ford,Pink,118737,2,21167
Ferrari,White,222133,4,5644
Ferrari,Pink,164470,2,23625
Ford,Blue,239465,4,8420
Ferrari,Blue,60861,4,29076
BMW,Pink,222977,4,25941
Ford,Green,137118,5,13837
Nissan,Black,206713,5,21029
Ford,Pink,19078,5,24973
Ferrari,Yellow,61047,5,8353
BMW,Red,245458,2,12541
BMW,Black,225048,2,3932
Chevrolet,Black,246293,5,13486
Nissan,Blue,127832,2,3757
Honda,Black,135150,2,7085
Honda,Pink,167087,4,7637
Ford,Yellow,43320,4,3116
Chevrolet,Yellow,100827,4,12759
Toyota,White,269931,4,13691
Ford,Yellow,34826,2,2492
Chevrolet,Yellow,110734,5,29882
Nissan,Blue,167702,2,10811
Nissan,Yellow,239834,2,29808
Nissan,White,187235,2,26272
Nissan,Red,108511,4,8474
Nissan,Pink,283797,4,28956
Chevrolet,Blue,169033,4,16385
Chevrolet,Red,91941,5,11738
BMW,Blue,215209,2,23342
Honda,Green,108818,5,15979
Ferrari,Black,162360,4,13755
Nissan,Green,263627,5,11797
Toyota,Yellow,105081,2,16607
Ferrari,Red,46877,2,14867
Chevrolet,Yellow,221957,4,28466
Toyota,Black,82715,4,27851
Toyota,Blue,151398,5,21127
Toyota,Black,120091,4,9866
BMW,White,142632,4,17449
Chevrolet,Black,93186,2,12685
Toyota,White,172962,4,25544
Nissan,Black,161094,4,7451
Ford,Pink,80316,2,23642
Toyota,White,38380,2,10548
BMW,Red,120198,5,9186
Ferrari,Yellow,274500,4,8102
Chevrolet,Yellow,80326,2,27445
BMW,Green,124994,5,27461
Toyota,Yellow,230971,5,28577
Chevrolet,Blue,292193,4,27859
Ford,Pink,288226,4,2619
Toyota,Black,272805,5,2882
BMW,Green,178484,2,27372
Honda,Blue,275064,5,5642
Nissan,Blue,255378,4,3296
Ferrari,White,281090,2,16122
BMW,Yellow,235314,2,26820
Chevrolet,Red,245612,5,4895
Toyota,Red,288453,4,24977
Nissan,Green,65230,5,19313
Toyota,Pink,69321,5,7366
Chevrolet,Red,142028,5,10711
Toyota,Black,241447,2,21596
Honda,Red,298107,2,20793
Nissan,Green,111757,4,10199
Nissan,Red,276847,4,12717
Chevrolet,Black,206200,5,5423
Ferrari,White,82099,5,12211
Honda,Pink,172932,5,14782
BMW,Green,41585,4,25360
Toyota,White,53585,2,25978
Ford,White,299102,2,23542
Toyota,White,298161,5,14474
Toyota,Blue,289922,5,5667
BMW,Pink,186313,5,29377
Toyota,Yellow,52229,5,24357
Honda,Pink,96652,4,24620
Honda,Blue,259474,2,10277
Nissan,Yellow,189436,5,29691
Chevrolet,Pink,270116,4,14424
Ferrari,White,29975,5,20852
Ford,Green,167795,5,24601
Toyota,Yellow,219373,2,22003
Toyota,Black,207133,5,20020
BMW,Black,190225,2,10155
Chevrolet,Red,299060,2,5583
Honda,Yellow,74324,2,17515
Ford,Green,186037,4,6009
Nissan,Blue,145720,4,21710
Honda,White,176205,2,12410
Chevrolet,Red,106059,5,26532
Ferrari,Black,108317,2,20601
Nissan,Blue,211207,5,6967
Ferrari,Blue,111459,2,20753
BMW,White,247697,5,22022
BMW,Yellow,210422,4,12695
Toyota,Black,111520,5,11135
Ferrari,Green,71272,2,7722
Chevrolet,Blue,233224,4,29413
Ford,White,154832,5,29236
Nissan,Green,162999,5,17514
Honda,Yellow,71367,5,13128
Chevrolet,Black,239027,5,6444
Chevrolet,Yellow,242750,5,9618
BMW,Blue,245806,4,22331
Ferrari,Green,193305,4,20060
Toyota,Green,54738,4,3196
Toyota,Green,43397,4,14297
Nissan,Blue,212332,2,4787
BMW,Blue,121453,4,25816
Chevrolet,Yellow,29816,5,28037
Ford,Red,255011,5,9927
BMW,Yellow,223567,4,21702
Nissan,Black,81635,5,27242
Nissan,White,226184,4,25073
BMW,Green,192958,5,4176
Nissan,Red,287707,2,22127
BMW,White,102324,2,10792
Honda,Red,233536,4,29228
BMW,Pink,242944,4,22806
Ferrari,Yellow,281991,4,22208
BMW,Blue,36155,5,11171
Nissan,Green,126891,4,4451
Ferrari,Yellow,159381,2,2628
Nissan,White,141691,5,11821
Toyota,Pink,44707,4,9778
Toyota,Pink,207576,5,5696
Ferrari,Pink,188686,5,22058
Honda,White,232500,4,22313
Toyota,White,272425,5,21149
BMW,White,168492,2,22753
Nissan,White,180102,2,14972
Toyota,Pink,227285,5,10307
Toyota,Pink,169476,4,6956
Honda,Red,244554,5,12195
Ferrari,Yellow,170928,2,19076
Ferrari,Green,150272,5,21546
Chevrolet,Blue,129273,5,3105
Honda,Pink,182307,2,21392
BMW,Blue,258500,5,20545
Ferrari,Yellow,176129,5,17417
Nissan,Yellow,142311,4,26729
Honda,Blue,244746,4,16188
Toyota,Pink,255546,2,22083
Nissan,Blue,206733,2,14602
Nissan,Red,136945,2,22170
Toyota,Black,55272,4,11256
Honda,Pink,156470,2,22584
Toyota,Pink,130030,2,16212
Chevrolet,Green,16570,2,3913
Nissan,White,19110,4,27792
Ford,Black,89141,5,23904
Ford,Yellow,22115,2,12593
BMW,Pink,49062,5,3772
Ferrari,Blue,295055,2,28536
Toyota,Black,114061,5,21164
Toyota,Green,11969,4,14996
BMW,Yellow,131863,4,25807
BMW,White,282369,2,4871
BMW,White,133008,5,15234
Nissan,Green,164268,4,19044
Chevrolet,Green,115823,2,24626
Toyota,Blue,285813,2,29211
Nissan,Pink,120677,4,12521
BMW,White,256958,4,12642
Toyota,Yellow,58320,2,3132
Nissan,Black,156649,5,2699
Chevrolet,Yellow,135354,5,16534
Nissan,Red,98009,5,25854
Chevrolet,Red,267437,2,12230
BMW,Green,38625,4,8297
Chevrolet,Blue,222112,2,14839
Toyota,Red,296233,4,9812
BMW,White,46487,5,6557
Toyota,Yellow,238071,5,4179
Ford,Yellow,183895,4,13030
Honda,Green,111376,4,11065
Chevrolet,Pink,253341,2,10275
Honda,Pink,291652,5,19806
Honda,Black,168056,2,17089
Chevrolet,Green,120169,2,29251
BMW,Black,280269,2,5180
Ford,Pink,46059,5,22700
Toyota,Green,113409,2,8696
Nissan,Green,15704,2,11583
Toyota,Green,214456,2,29794
Nissan,Pink,228200,2,18998
Toyota,Black,121279,2,15869
Chevrolet,Black,168280,2,29547
Ford,Green,128516,5,13757
Nissan,Red,207096,2,22954
Ferrari,Blue,242549,4,18654
BMW,Pink,39165,2,14258
Toyota,Blue,77203,2,4468
Toyota,Blue,276258,5,16208
Nissan,Black,46321,5,17042
BMW,Black,255014,4,27966
BMW,Red,166498,4,17639
Chevrolet,Blue,27772,5,13546
Ferrari,Blue,275856,5,14327
Chevrolet,Green,248389,2,16270
Chevrolet,Black,125142,5,17523
Chevrolet,Blue,101736,4,16300
Chevrolet,Yellow,61924,2,21991
Chevrolet,Red,13726,4,12775
Ford,Yellow,37723,2,14265
BMW,Yellow,244182,5,21459
Chevrolet,Pink,150180,4,18673
BMW,Pink,218786,2,26504
BMW,Red,45643,2,29056
Honda,Yellow,172396,5,8614
Ford,Blue,224432,5,5252
Chevrolet,Black,149999,5,9415
Toyota,Red,89973,4,25155
Nissan,Green,119834,2,18662
Ferrari,Yellow,246386,5,13116
Toyota,Red,297681,4,18964
Ford,White,117522,4,6958
Nissan,White,32612,4,26829
Ford,Pink,235049,5,6276
BMW,Black,278615,5,26381
Nissan,Blue,176703,2,6776
BMW,Black,250069,2,19208
Toyota,Black,233131,5,5832
Toyota,Black,41348,4,27275
Nissan,Black,205804,4,16901
Nissan,Green,273321,4,7445
Chevrolet,Green,145832,2,3380
Ford,Pink,293780,4,11865
Chevrolet,Red,91889,2,29303
Ford,White,63551,2,24918
Chevrolet,Black,152635,4,15926
BMW,Pink,56819,4,21540
Nissan,Red,222781,5,13580
Toyota,White,168059,5,22691
Ford,Yellow,199420,4,7634
Ford,Blue,34596,2,26959
Toyota,Green,69182,2,7810
Chevrolet,Yellow,138803,2,26917
Ford,White,149978,2,24318
Ferrari,Yellow,55379,2,12179
BMW,Blue,255900,5,14251
Nissan,Pink,268517,4,15131
Toyota,White,147084,5,21493
Nissan,Yellow,191187,2,22466
Ferrari,Green,279295,2,14707
Ford,Green,67716,2,29374
Ford,Red,233725,2,21624
Ferrari,Yellow,177450,4,28564
Toyota,Black,183724,2,24412
BMW,Yellow,213502,4,29990
Honda,Pink,154539,2,20233
Toyota,White,131999,4,26881
Honda,White,124793,5,4749
Ferrari,Pink,22289,2,15156
Chevrolet,Yellow,186048,4,25064
Honda,Pink,184668,5,27711
BMW,Blue,241513,2,18589
Chevrolet,Pink,267368,2,25736
Honda,Green,96365,2,22975
Ferrari,Pink,240662,4,5450
Chevrolet,White,185211,4,9214
Ferrari,Green,189785,5,22195
Honda,White,82588,4,13814
Ferrari,Red,73646,4,29127
BMW,Black,275798,2,7141
Honda,White,290887,2,26885
Honda,Green,231097,2,4708
Honda,Red,215244,2,20375
Toyota,White,129735,2,17088
Toyota,Blue,165683,2,26847
Toyota,Pink,117971,2,13834
BMW,Black,22149,5,14278
Chevrolet,White,248976,5,12014
Ferrari,Red,52668,5,5273
Ford,Blue,98204,5,16367
Honda,Yellow,221830,2,6538
Ferrari,Red,206501,5,14541
Honda,Pink,175140,2,10712
BMW,Red,229861,5,11168
Honda,Blue,150507,4,22106
Toyota,Red,235160,5,5551
Ford,Blue,193321,5,14297
Nissan,White,47384,2,12965
Honda,Blue,91929,5,29128
Ferrari,Blue,86153,4,4832
Toyota,Black,245128,2,24063
Nissan,Blue,85388,2,24963
Ford,Blue,41401,5,15422
Nissan,Yellow,212903,2,2152
Toyota,White,129503,2,24138
Chevrolet,Pink,242601,2,13156
Chevrolet,Black,137834,2,13108
Nissan,Yellow,44084,2,4800
BMW,Green,261459,2,7310
Ferrari,White,120641,4,11944
Ferrari,White,115111,5,4610
Nissan,Green,148299,4,14067
Honda,Pink,172982,2,3104
Honda,Blue,244386,2,12728
Ferrari,Yellow,206553,5,25745
Ferrari,Red,270337,4,22583
Chevrolet,Black,137556,5,22238
BMW,Red,205246,4,9263
Toyota,Green,36160,2,3914
Honda,White,256242,5,25749
Ferrari,Pink,27633,5,21456
Chevrolet,White,289158,2,27582
Ford,Black,59104,5,2406
Chevrolet,White,78388,4,15689
Honda,White,26014,4,2166
Honda,Black,102578,4,2508
Chevrolet,Yellow,174827,4,20045
Toyota,Yellow,50390,2,5664
Nissan,Black,295855,5,21873
Honda,Pink,101658,4,15050
Chevrolet,Green,67993,2,2680
Ferrari,White,215768,5,20908
Chevrolet,Pink,168285,5,20504
BMW,White,256860,2,23644
Nissan,Green,279565,2,6357
Ford,Yellow,228008,4,3363
Toyota,Pink,27727,5,11523
Ford,Blue,14358,5,4292
Nissan,Blue,267681,2,3538
Nissan,Blue,104018,5,5408
Nissan,Yellow,136888,4,26126
Ford,Yellow,239104,5,10752
Ferrari,Green,203510,2,27675
Nissan,White,119847,2,20287
Chevrolet,Green,86329,4,2174
Ford,Green,41007,4,28732
Nissan,Yellow,180604,5,4230
Chevrolet,Blue,22323,5,6287
Ferrari,Red,122356,2,22544
BMW,White,120944,4,14112
Ferrari,Yellow,214451,4,9106
Nissan,Blue,288600,4,11689
Ford,Pink,41367,5,14046
Honda,Red,64624,4,21555
Nissan,Red,244565,2,19951
Honda,Yellow,78008,2,3151
Chevrolet,Black,126492,5,9619
BMW,White,82240,5,8033
Toyota,Red,211659,4,10560
Ferrari,Yellow,282900,5,6946
BMW,Yellow,145327,2,26618
Nissan,Blue,135703,4,3907
Honda,Pink,175575,2,5490
Ferrari,Black,84069,4,20919
Honda,White,239189,5,6173
Ford,Green,261051,4,13065
Honda,Pink,135541,4,28400
Ford,Pink,199648,2,19677
Chevrolet,Blue,266353,2,6769
Ferrari,Red,281830,4,6796
Ferrari,Red,141733,5,15046
Toyota,Blue,185915,5,16211
Nissan,Yellow,105673,2,25255
Ford,Red,52828,5,29962
Toyota,Black,282670,2,21356
Honda,White,35592,5,22306
Honda,Pink,272351,4,6997
Toyota,Pink,242041,2,25416
Ferrari,Black,240008,2,19376
Honda,Red,134982,4,10112
Chevrolet,Pink,266911,2,7287
Chevrolet,Green,78619,5,12578
Toyota,White,170400,5,20624
Ford,White,161175,2,19860
Ford,Pink,180963,5,8426
Toyota,Blue,151826,2,13599
Ford,Pink,241055,4,2389
Ferrari,Blue,108540,2,2999
Ferrari,Pink,112747,4,14812
Ford,Green,196994,5,17599
Chevrolet,Yellow,39301,4,3855
Ford,White,232724,5,10125
Ferrari,Pink,203783,2,15794
BMW,Green,182395,5,27234
Nissan,Blue,28752,2,4763
Honda,Blue,223277,2,22047
BMW,White,154467,4,6986
Ford,Black,227029,4,3481
Chevrolet,Pink,66273,4,25640
Toyota,Red,268503,4,5731
Ford,Blue,101878,5,25646
Chevrolet,Yellow,277039,5,18835
Nissan,Yellow,129968,5,29051
Ford,Blue,86559,2,29798
Ferrari,Black,20699,5,28113
Toyota,Black,206133,5,21477
Chevrolet,Green,19715,5,19266
Chevrolet,Yellow,29169,4,22792
Chevrolet,Green,128413,5,22452
Nissan,Yellow,129264,2,12758
Ford,Pink,277926,4,21661
Nissan,Pink,229249,2,18311
Honda,Red,134481,5,10566
Honda,Pink,225400,4,13889
Ford,Red,45585,2,26335
Ferrari,Pink,188936,5,13254
Nissan,White,48067,2,23074
Toyota,Pink,183757,2,13442
Chevrolet,Green,263334,2,15521
Chevrolet,Blue,28073,5,22979
Ford,Green,46035,5,6559
Ferrari,Blue,206049,2,18199
Honda,Black,243782,4,9291
Honda,Green,100373,4,10160
Chevrolet,Black,100517,5,2112
Ford,Red,75450,5,23515
Nissan,Red,20382,5,21581
Honda,White,212043,5,17924
Nissan,Pink,231427,5,28954
Ferrari,Green,71929,4,28500
Honda,Black,243483,5,18523
Honda,Blue,238590,2,3424
BMW,Red,153401,2,21333
Honda,Pink,266677,4,21552
Toyota,Red,297313,2,27092
Ford,Blue,97468,4,12808
Ford,Pink,44594,4,8043
Nissan,Pink,201703,2,8989
Ferrari,Black,55033,5,25620
Honda,Black,73133,2,8261
Toyota,Green,83861,2,2887
Nissan,Green,193362,4,21488
BMW,Yellow,50461,2,18433
Nissan,Yellow,88222,4,22335
Nissan,White,122020,5,21944
Honda,Red,296370,5,18402
BMW,Green,278865,5,23205
Nissan,Black,30609,2,24724
Toyota,Blue,140513,4,26442
Toyota,Black,213981,5,28049
Ford,Red,114211,4,14253
BMW,Yellow,196321,4,20990
BMW,Black,39984,5,9846
Ford,White,128947,5,27027
Nissan,Red,214894,4,8432
BMW,Yellow,15901,5,15452
Toyota,Blue,172624,4,15395
Toyota,Yellow,232317,4,5765
Honda,Pink,178757,5,20822
BMW,White,155788,2,17950
Nissan,Red,124099,5,14502
Ford,Blue,21138,2,11741
Ford,White,176370,4,24742
Nissan,Yellow,33429,4,26703
Ferrari,White,60200,2,7941
Chevrolet,Red,212380,4,26028
Honda,Green,258289,2,6855
Ford,White,255127,2,24931
BMW,Pink,246513,4,25580
Honda,White,27347,2,24295
BMW,Yellow,157992,5,24865
Ferrari,Yellow,41822,5,17166
Toyota,Blue,50108,4,21145
Honda,Yellow,17967,4,22840
Ford,Black,21871,2,27991
Honda,Red,235371,2,24745
Honda,Red,218524,2,24077
Honda,Green,215342,2,7788
Chevrolet,Green,174685,5,2201
Honda,Red,38179,5,24544
BMW,Pink,261537,4,12561
Toyota,Green,193260,2,18901
Ferrari,Blue,45262,2,9737
Nissan,Yellow,70545,4,27917
Honda,Red,244555,2,3988
Ford,Green,233894,2,17441
Honda,Red,213218,2,13737
Ford,Black,52913,2,16256
BMW,White,260497,2,22186
Ford,Yellow,187404,4,24192
Nissan,Red,166104,2,29851
Toyota,White,178918,4,9162
Ford,Green,200546,2,29010
Ford,White,54936,5,15065
Toyota,Yellow,170866,5,24625
Nissan,Red,202660,5,16114
Honda,Black,212056,5,10399
Ford,Pink,235469,4,7633
Toyota,Green,38141,4,7755
BMW,Red,147478,2,12825
Toyota,Yellow,107359,5,24693
BMW,Green,164363,4,6117
Nissan,Blue,51568,2,26729
Honda,White,107539,2,29942
Toyota,Pink,56851,4,3518
Ferrari,Yellow,64823,5,24547
Ferrari,Blue,33312,2,18346
Chevrolet,Red,209900,5,4600
Ford,Black,284555,5,15237
Nissan,Green,259062,5,20579
Toyota,White,42371,2,5554
Ferrari,Green,67022,5,28990
Ford,Pink,109071,2,18193
Ferrari,Red,192268,5,21233
Toyota,Green,298859,2,17253
BMW,White,299749,5,18194
Toyota,Red,109853,4,3742
Chevrolet,Green,41174,5,3306
Toyota,Black,86373,5,5849
Toyota,Yellow,203021,2,14360
Chevrolet,Red,203718,2,14768
Nissan,Yellow,80017,5,25903
Toyota,Red,73037,4,15032
Chevrolet,Black,99818,4,6195
Ford,Yellow,16548,2,23562
BMW,Blue,126981,4,20939
BMW,White,244213,5,20689
Toyota,Blue,214366,2,9619
Nissan,Green,164249,5,11280
Nissan,Black,296166,2,4642
Ford,Blue,116297,2,11369
Toyota,Red,146614,2,16296
BMW,Green,232084,2,24793
Nissan,Green,70428,4,17438
Toyota,Blue,163812,5,17674
Ferrari,Blue,123132,5,6757
Nissan,Black,197604,5,4994
Chevrolet,White,26052,2,27135
Ferrari,Blue,110689,4,29540
Nissan,Pink,188148,5,17226
BMW,Blue,141743,4,3271
Honda,Yellow,272307,2,3813
Ferrari,Red,145870,5,29491
Ford,Pink,294564,4,27185
Ford,Pink,130575,2,20845
BMW,Yellow,268230,4,22504
Nissan,Yellow,20749,5,24508
Toyota,Green,114131,5,10475
Nissan,White,166193,2,29504
BMW,Red,235019,2,6396
Ford,Black,293367,2,11283
Nissan,Pink,82930,4,15318
Ford,Black,155128,4,19200
Ferrari,Blue,298179,4,25688
Toyota,Blue,266553,2,25715
Ferrari,Black,205113,5,2082
Ford,Blue,63352,5,3920
Ford,White,173856,4,9817
Honda,Yellow,13191,4,13683
Honda,Blue,114576,5,13336
Ferrari,Green,205713,5,17596
Chevrolet,Blue,13631,4,4093
Ferrari,Red,147244,4,14905
Honda,White,230169,5,25455
Ford,Red,100353,2,26351
BMW,Red,38671,4,10367
Ferrari,Green,132811,5,7285
Ford,White,192503,5,12896
BMW,White,231972,5,6937
BMW,White,263211,5,18753
Honda,White,234033,2,20202
Ferrari,White,229861,5,20485
Nissan,Green,164544,4,14977
Toyota,Blue,190302,2,21874
Honda,Red,17099,5,20163
Honda,White,259686,2,9674
Nissan,Pink,66492,4,19748
Toyota,Blue,106722,5,25678
Ford,Blue,40111,4,29918
Chevrolet,Red,73936,5,5676
Ferrari,Green,163686,5,4426
Chevrolet,Black,233332,5,26648
Ford,Black,211548,5,26473
Honda,Blue,259031,5,4962
Toyota,Yellow,73530,2,2859
Honda,Yellow,279932,5,14048
BMW,Red,38082,5,6138
Honda,Black,99570,2,4424
Honda,Blue,111015,2,27640
Ford,Green,217888,2,12409
Ford,Black,157603,2,6017
Ford,Blue,104439,2,12451
Chevrolet,Blue,151214,2,12278
BMW,White,125053,5,26944
Ford,Green,58355,5,12996
Toyota,White,211139,4,26726
Chevrolet,Red,244706,5,3134
Nissan,White,135426,5,23550
Toyota,Pink,74027,2,7119
Ferrari,White,169210,2,7694
Ferrari,Pink,102601,5,29360
Toyota,Black,39956,4,24520
Ford,Yellow,248340,2,23869
Nissan,Blue,114797,5,6164
Nissan,Pink,146511,5,20730
Chevrolet,Green,88815,4,7039
Nissan,White,49279,4,23281
Ferrari,Pink,158702,2,16631
BMW,Green,71063,4,12442
Ford,Yellow,259599,5,10252
Nissan,Yellow,264311,5,23425
Chevrolet,White,137896,4,29586
Ferrari,Red,176216,4,22285
BMW,White,232146,4,19721
Honda,Black,218432,4,19568
Honda,Pink,192051,2,22810
BMW,Blue,107661,4,3551
Ferrari,Red,183672,2,14625
Chevrolet,White,133257,5,3629
BMW,Green,279054,4,27903
Ford,Red,44964,2,19910
Ford,Pink,289297,4,28249
Honda,Red,240156,5,3361
Nissan,Pink,118212,5,28149
Chevrolet,White,49071,5,29262
Honda,Pink,122990,4,6370
Nissan,Red,79519,4,7283
Nissan,Green,19503,2,9610
Ford,Yellow,201775,5,12558
Ferrari,Red,105457,4,16924
Toyota,Pink,198938,5,16839
Ferrari,Yellow,157977,5,13949
Toyota,Pink,55838,2,12626
BMW,Green,99489,2,3993
Ford,Pink,36806,2,2869
Nissan,White,186072,2,3014
Chevrolet,Blue,80119,5,12103
Toyota,Red,195165,2,18986
Ferrari,Blue,115432,2,14013
Nissan,Pink,187876,2,2690
Toyota,Green,94080,2,27069
Toyota,Red,262791,5,18873
Toyota,Pink,87794,2,25248
Chevrolet,Yellow,134447,5,25624
Ford,Black,130029,4,12748
Chevrolet,Pink,189830,5,26170
Honda,Blue,47643,5,10024
Nissan,Red,197921,2,18678
Ford,Blue,169116,4,7488
Ford,Red,25997,4,22411
Ford,Pink,108605,4,13035
Ferrari,White,235942,4,21296
Ford,Yellow,155643,5,28293
Chevrolet,Pink,118255,4,29172
Ford,Blue,270298,5,23128
BMW,Black,68005,5,20257
Nissan,Black,227322,5,14855
Ford,Green,199784,4,21642
Nissan,Red,53541,2,4817
BMW,Blue,33387,2,27020
BMW,Green,189980,4,22025
Nissan,Blue,95457,2,6458
Toyota,Red,154129,2,7307
Honda,Pink,74028,5,10933
Ferrari,Pink,129246,5,20425
Toyota,Black,165930,4,19063
Toyota,Pink,189761,4,12659
Chevrolet,Pink,54638,2,7738
Ferrari,White,187558,5,7668
Ferrari,Black,30567,4,27934
